times,errors,times_1,errors_1,times_2,errors_2,times_3,errors_3,times_4,errors_4,times_5,errors_5,times_6,errors_6,times_7,errors_7,times_8,errors_8,times_9,errors_9,times_10,errors_10,times_11,errors_11,times_12,errors_12,times_13,errors_13,times_14,errors_14,times_15,errors_15,times_16,errors_16,times_17,errors_17,times_18,errors_18,times_19,errors_19,times_20,errors_20,times_21,errors_21,times_22,errors_22,times_23,errors_23,times_24,errors_24,times_25,errors_25,times_26,errors_26,times_27,errors_27,times_28,errors_28,times_29,errors_29,times_30,errors_30,times_31,errors_31,times_32,errors_32,times_33,errors_33,times_34,errors_34,times_35,errors_35,times_36,errors_36,times_37,errors_37,times_38,errors_38,times_39,errors_39,times_40,errors_40,times_41,errors_41,times_42,errors_42,times_43,errors_43,times_44,errors_44,times_45,errors_45,times_46,errors_46,times_47,errors_47,times_48,errors_48,times_49,errors_49,times_50,errors_50,times_51,errors_51,times_52,errors_52,times_53,errors_53,times_54,errors_54,times_55,errors_55,times_56,errors_56,times_57,errors_57,times_58,errors_58,times_59,errors_59,times_60,errors_60,times_61,errors_61,times_62,errors_62,times_63,errors_63,times_64,errors_64,times_65,errors_65,times_66,errors_66,times_67,errors_67,times_68,errors_68,times_69,errors_69,times_70,errors_70,times_71,errors_71,times_72,errors_72,times_73,errors_73,times_74,errors_74,times_75,errors_75,times_76,errors_76,times_77,errors_77,times_78,errors_78,times_79,errors_79,times_80,errors_80,times_81,errors_81,times_82,errors_82,times_83,errors_83,times_84,errors_84,times_85,errors_85,times_86,errors_86,times_87,errors_87,times_88,errors_88,times_89,errors_89,times_90,errors_90,times_91,errors_91,times_92,errors_92,times_93,errors_93,times_94,errors_94,times_95,errors_95,times_96,errors_96,times_97,errors_97,times_98,errors_98,times_99,errors_99,times_100,errors_100
0.356557126,3.798467047749496e-5,0.246798181,1.2227382627070525e-5,0.257873125,2.330713913494171e-5,0.293099819,0.00014249611361840964,0.302685227,4.3908930123750475e-5,0.310688148,9.95091181138344e-5,0.33595414,5.37493157879085e-5,0.316521247,3.216721796087749e-5,0.353623239,0.00047306945768908233,0.373155253,1.9557349906111846e-5,0.268770322,1.9313783819795486e-5,0.198124971,3.0091997523603778e-5,0.230210732,7.01819143162157e-5,0.388038715,7.014890233947527e-5,0.411374324,2.2268785067478214e-5,0.295834173,0.0009886567689106473,0.23819336,9.456826396794502e-5,0.312337609,0.00045842883624131305,0.33628109,8.26046192135863e-5,0.290512431,0.0002774981886885121,0.301993754,1.999126622741058e-5,0.250648904,2.8670116474185584e-5,0.263551644,1.4480123302213971e-5,0.269605924,0.00024231948494728186,0.262066796,2.5239572369981953e-5,0.246382727,0.0004374394445217188,0.248921968,1.820431594098205e-5,0.274200753,3.453046842872997e-5,0.262141495,3.7499128939053595e-5,0.26902737,1.6273976238650985e-5,0.309529321,7.666930962404948e-5,0.216904009,3.241745147838419e-5,0.245784838,0.0002800748301485812,0.232906546,2.2542222931747524e-5,0.268092887,2.1723357647711294e-5,0.224183704,3.1053897315217385e-5,0.354428543,3.1359331868766526e-5,0.307605391,3.975430379774127e-5,0.232125739,2.0640674614467803e-5,0.413654846,3.072924923794139e-5,0.212748876,5.054156187888691e-5,0.320599033,3.321381919329507e-5,0.308075391,0.00013950473310583367,0.417600915,0.00010819927412861598,0.30146989,0.00010179708227117498,0.376375016,2.320861309379412e-5,0.255442484,0.00011342328609520463,0.334180919,1.755472966827635e-5,0.313838445,7.687645970764916e-5,0.313371383,1.696869630073036e-5,0.369279815,2.138974746358023e-5,0.265125934,1.601472270408717e-5,0.25030308,7.179575832878392e-5,0.274233374,8.567825983134663e-5,0.361971514,1.32794804028858e-5,0.296449653,2.287697940038874e-5,0.227437581,5.2447419297539764e-5,0.220102253,2.672851129682419e-5,0.337705312,0.00010490191466669677,0.420386108,0.000431295916222706,0.283896394,3.307026067763528e-5,0.30774022,0.0002598941195997869,0.302758993,0.0001623589297565671,0.2909242,6.426863478602786e-5,0.238112927,1.956895047055e-5,0.26458304,1.6077948702184007e-5,0.303025872,4.6385382891302733e-5,0.269970069,0.0003166326542127501,0.301531451,1.1706564907268002e-5,0.311077784,4.201894024840248e-5,0.245458156,4.92506286271471e-5,0.337952705,8.226987707573995e-5,0.322382168,0.000324236899944587,0.273253151,1.6681222859952543e-5,0.405663443,5.6447404447541e-5,0.416491854,6.0521889182453096e-5,0.442456694,5.041340265901733e-5,0.27960904,3.206037624524119e-5,0.462710694,6.422016375667711e-5,0.403232233,1.9640971279383624e-5,0.444755112,0.00022178640523819412,0.300298813,3.332049876166589e-5,0.333861197,0.00014482513030771764,0.263505223,2.4604957332913247e-5,0.358186057,2.2549512095300793e-5,0.32687893,2.5664662168193653e-5,0.325201529,1.8743648666066854e-5,0.335995396,0.00014286983958698626,0.328765193,0.00015854973349031245,0.293069772,1.6547950584547593e-5,0.268082328,0.0001468162627894506,0.225156595,4.37714562522384e-5,0.318160501,9.68299890854058e-5,0.306090247,3.2148364581607496e-5,0.251490067,0.0013060608833081375,0.340109835,1.6582786173202522e-5,0.236158599,2.8276094374729204e-5,0.270962855,2.1133460615647318e-5,0.362429876,0.00016770761732041168,0.307086905,2.2400693273819244e-5,0.431626516,0.004207319524735121
0.313932183,9.29040381717797e-6,0.348255466,5.458430204999652e-6,0.427147877,7.122826516049402e-6,0.427262152,1.05242458263172e-5,0.364619557,1.1781438363339448e-5,0.335126779,5.544231466570431e-5,0.396553361,2.462061502064031e-5,0.418242001,5.158284252918163e-6,0.453634309,0.00020596398477498585,0.423595132,7.75943105707533e-6,0.285347068,7.895165324928269e-6,0.306035481,8.940713205333183e-6,0.280430571,1.2017792192121784e-5,0.636395262,2.8758139035557415e-5,0.578212536,8.155449805538715e-6,0.323625964,1.6867193656655304e-5,0.295952405,8.941975879158711e-6,0.295827781,5.6978303238296136e-5,0.457728388,6.913117259059546e-6,0.358908742,2.6499347461947223e-5,0.311635709,6.181699574181457e-6,0.278490867,1.56707708120051e-5,0.295452556,6.506725220314494e-6,0.337502716,3.7670046004575377e-5,0.318422762,8.081466769755e-6,0.354092345,5.113938356311018e-5,0.339174945,8.539406656062366e-6,0.327086124,2.1942579691197426e-5,0.315908619,1.1846141100348702e-5,0.343527903,9.994719907540932e-6,0.344301105,8.170991604536948e-6,0.289451848,2.035518892115588e-5,0.304988896,0.00013779990680128708,0.253426262,8.792842584918905e-6,0.382670221,1.0000618410500243e-5,0.287221231,6.680535364106392e-6,0.424374166,9.456826413254788e-6,0.360651941,6.375374333077562e-5,0.284765596,9.225986830501066e-6,0.401222772,0.00011322445653781137,0.352495434,2.0451512783679147e-5,0.445177696,9.079997795612999e-6,0.423644196,2.3595500349564834e-5,0.502277341,1.333131039441096e-5,0.366506835,6.917601238352025e-5,0.475093855,8.788252531466717e-6,0.275127935,9.559975870371176e-6,0.45367354,8.907238756831883e-6,0.346544719,2.765548920180873e-5,0.425894113,1.2576518774807842e-5,0.499508663,8.141245092740047e-6,0.304225685,2.768204436884635e-6,0.348103365,9.844577406630129e-6,0.385205821,3.0610647976442285e-5,0.314367704,1.4527592580883755e-5,0.350345463,6.7996067510376435e-6,0.320154023,1.8030682565838813e-5,0.320606801,7.828327304801828e-6,0.405111091,2.6588570152671305e-5,0.514502278,0.0004617907302852813,0.304590474,1.215373703240754e-5,0.354914019,2.1874190525551994e-5,0.372896133,1.802052798642547e-5,0.409385655,3.3452164518745494e-5,0.290791844,7.097158456272467e-6,0.245011889,6.854335762695729e-6,0.327527655,3.1142750108432936e-5,0.353369882,6.587297694039903e-5,0.387930437,5.423414428908987e-6,0.362679616,7.24140951727466e-6,0.302864028,1.4042126368987911e-5,0.459012795,1.0802448233853352e-5,0.353850034,1.0181897891435344e-5,0.47921459,3.5693755111581934e-6,0.503160894,1.2240697800001075e-5,0.530727903,5.0948435422329015e-6,0.650409133,5.495858231666861e-6,0.284826458,1.1518904125918637e-5,0.485375362,0.000177138624428422,0.41024081,3.0336669941058787e-5,0.568390424,2.6349714819069338e-5,0.310081575,0.00014338514259929465,0.544332521,2.0220539865175584e-5,0.262110767,9.043405159992168e-6,0.414746436,2.5559178945688346e-5,0.455618963,9.878483493424209e-6,0.501331748,8.093402213734166e-6,0.491397853,2.783922517517683e-5,0.300853824,8.141486937761926e-5,0.236368458,8.071446773234612e-6,0.293655083,1.528493536883641e-5,0.428273968,6.8728450652040544e-6,0.447852899,2.1399380642769318e-5,0.437128665,8.69522958601316e-6,0.326359809,9.744023417375964e-5,0.437230354,2.919945383432607e-5,0.319914707,1.358115190723795e-5,0.281884457,9.358773919947514e-6,0.428000012,7.163124585059734e-6,0.443745756,8.098260990730983e-6,0.52147275,0.0018549683990931418
0.466029786,1.6202391604041018e-6,0.399728287,2.242193349497298e-6,0.497453752,2.8139662032530435e-6,0.51236849,9.458490448110763e-6,0.463308513,5.5476733703453065e-6,0.434023002,1.7118223946308557e-5,0.478323683,4.41770704438504e-6,0.633818998,2.8860906413276065e-6,0.559794735,0.00012972024598755457,0.61597283,1.7985581615108428e-6,0.381208333,3.065118939130419e-6,0.298546987,2.8795292824360435e-6,0.523459255,4.286365787989205e-6,0.728646992,3.66818658953695e-6,0.555678488,5.460397065910358e-6,0.451448687,3.0386619469443236e-6,0.395722884,2.503404465295831e-6,0.433108195,6.592750601227577e-6,0.49837495,3.0159621381875874e-6,0.434065476,3.3991435047014462e-6,0.35731574,3.2240967426478637e-6,0.40589781,2.8174738332834464e-6,0.424657422,2.5175583832994293e-6,0.492206691,4.807150640406145e-6,0.433169263,8.567436209317719e-6,0.523649342,1.0747372912563904e-5,0.42552356,3.2345769257366726e-6,0.452765157,3.405246598893268e-6,0.433772842,4.149639764938087e-6,0.43574107,3.0686966861614597e-6,0.4363937,3.868977525536214e-6,0.328647056,5.1112942742189545e-6,0.369417829,1.855742656519765e-5,0.320777521,2.151358953066253e-6,0.402450935,2.4567359712105303e-6,0.389981003,1.6698939602177252e-6,0.564732645,2.3744852843695976e-6,0.494372072,7.565020391180015e-6,0.399216135,3.7279745544886774e-6,0.553359265,4.654845815089764e-5,0.376898013,3.742620696797788e-6,0.481523327,6.2519736490290185e-6,0.468186863,3.765597072503765e-6,0.504350161,3.2721517054871903e-6,0.525778109,1.4534693828388947e-5,0.397807681,4.147971478755414e-6,0.34154234,2.864736766353052e-6,0.422625216,2.201942184791785e-6,0.504608167,2.320728966061257e-6,0.425336314,3.3277432362260295e-6,0.534680958,2.6824819560614335e-6,0.39619572,3.8870846239314316e-6,0.38829496,4.05603949444438e-6,0.535485782,1.741543402950079e-5,0.404909186,1.8992500737044898e-6,0.419940649,9.171975533929322e-6,0.408051938,4.957025445088615e-6,0.410117692,8.487379122310753e-6,0.385023147,1.6780823233322066e-5,0.593646642,0.00023774140461822323,0.390146117,5.770103015846666e-6,0.490403707,4.965294717659074e-6,0.460032503,2.5910463199614335e-6,0.432606879,7.827706496539783e-6,0.353420729,2.06641520945775e-6,0.410917269,2.897522920273376e-6,0.394650885,6.558413127671848e-6,0.373706172,9.768812793909426e-6,0.487720382,1.2188190823231573e-6,0.404976086,8.386246435763628e-6,0.506936969,1.1363989094094288e-6,0.516260694,3.3587074622485088e-6,0.494966818,2.0837451869048225e-6,0.648614396,1.5346487602050772e-6,0.511529033,3.2734922809589277e-6,0.490207644,3.552924266048548e-6,0.680338366,2.052491976654653e-5,0.699727332,6.6402958396160475e-6,0.48650912,1.5753795996875235e-5,0.394950865,4.379302860620291e-6,0.678569016,2.4388644117849502e-5,0.636678996,3.0268974536019806e-5,0.440503879,2.237859953502174e-6,0.547773899,1.9012051785262832e-6,0.438887333,2.6118120813332823e-6,0.565984103,2.9776411783852244e-6,0.559080153,4.445696238287512e-6,0.634537452,3.614988707013511e-6,0.476328766,1.72435426132659e-5,0.347867985,3.6357505314827937e-6,0.379168349,1.3315050989031235e-5,0.504718662,8.645096685103663e-6,0.606114452,4.0406534723933324e-5,0.619537953,2.457722088201182e-6,0.374308847,2.2077407783331996e-5,0.360272541,3.5928642324699705e-6,0.403776688,3.305024527194671e-6,0.35185376,1.3058408893472882e-6,0.674625707,2.762943463479568e-6,0.397130652,2.5301912350741107e-6,0.648727046,0.0002439097837052495
0.470364021,1.0673253859069457e-6,0.567974656,7.352392568058425e-7,0.637156862,8.194320492453226e-7,0.613510562,2.3180681816672108e-6,0.642932013,1.9800811463623e-6,0.599194976,3.80772984159218e-6,0.557137708,1.4587720023420044e-6,0.891878584,6.37145746445557e-7,0.610549423,5.932568075330574e-6,0.521154604,7.369832398935899e-7,0.564870819,7.38990754990531e-7,0.462010552,7.628775631288524e-7,0.707555275,1.2299868391304944e-6,0.607219822,2.964224612063981e-6,0.595366098,1.5164027161057077e-6,0.583872619,1.171891416522304e-6,0.467719344,8.438582072339643e-7,0.502043015,3.107378651831743e-6,0.5963047,5.861986129723914e-7,0.495012468,2.171186910513539e-6,0.618011705,4.779383102123023e-7,0.46000946,1.6056936848718545e-6,0.499780627,8.262097353145694e-7,0.497558836,3.932261474760879e-6,0.611801946,1.2992822579168794e-6,0.550479566,2.970154618929018e-6,0.646514444,7.000929434038093e-7,0.500812643,7.519616213206657e-7,0.479215425,7.770790036794698e-7,0.4496256,9.86702108463278e-7,0.622330756,7.629982923223167e-7,0.455223805,1.20930977035644e-6,0.49814702,2.4290950871056867e-6,0.406560319,8.483259081590181e-7,0.557923003,4.6375287314265173e-7,0.549089436,5.055811264694412e-7,0.736549861,4.0426832666121215e-7,0.616283849,1.645005126765928e-6,0.582271292,7.049083950529393e-7,0.682842614,9.261886797453836e-6,0.491695462,1.864802114977693e-6,0.875912248,1.3186361736917966e-6,0.779657543,2.692705065460453e-6,0.515287536,8.035123244425471e-7,0.900807163,2.1438782213793293e-6,0.493623128,4.7564262834907026e-7,0.557939766,1.1791989177423361e-6,0.526144848,6.534945358642382e-7,0.748355609,1.625337501169563e-6,0.543546501,7.009599275978345e-7,0.620565231,8.314222253595429e-7,0.522880683,6.707386660503074e-7,0.621841406,1.2819200518429945e-6,0.906721888,1.7430551095685728e-6,0.530055044,6.119879744481046e-7,0.826898086,1.6053237449715193e-6,0.546059054,1.28402336201407e-6,0.585715835,3.0179997912033827e-6,0.461068061,1.0662192749952325e-6,0.47844114,2.362766928506538e-5,0.771594714,6.379089480885952e-7,0.736368163,2.9307961344940063e-6,0.801341004,2.0327084013145655e-6,0.675863493,1.2307589481064815e-6,0.718049802,4.339474445885204e-7,0.632729247,1.1509296709332517e-6,0.504695232,9.3082340455753e-6,0.517923158,4.524299726273968e-6,0.493504659,4.628306038018635e-7,0.770445523,1.5169445470827534e-6,0.626860401,5.385539158591803e-7,0.623819212,1.8181555236911365e-6,0.861967911,1.1988860220937155e-6,0.717877603,9.414285955006642e-7,0.534953431,3.8415306232607246e-6,0.505144979,9.177081159559479e-7,0.543796824,2.630994410735433e-6,0.809713295,3.2008868700244557e-6,0.686981929,1.9059031554077633e-6,0.664531386,1.3467696783686386e-6,0.616382776,2.148048585026808e-6,0.779378842,1.5172891778873203e-6,0.569323141,1.6208635620237624e-6,0.610394774,4.2263700130217647e-7,0.56394405,6.149330852356494e-7,0.534585182,9.83195042926948e-7,0.67551261,1.3767949890206088e-6,0.527515171,1.2081905323182107e-6,0.606301419,7.0569960845025075e-6,0.467803199,7.770050638826395e-7,0.59912219,2.0777461409656422e-6,0.732903491,1.730277742507463e-6,0.728866417,5.6537183580515e-6,0.557950166,1.360204416503487e-6,0.486699514,3.7796648191528356e-6,0.532261556,6.184729635266298e-7,0.664863211,1.349482681591105e-6,0.427588722,1.0229406058242168e-6,0.816500348,9.363201666228404e-7,0.499946513,1.1528586598564035e-6,0.643143403,4.861597117039951e-6
