times,errors,times_1,errors_1,times_2,errors_2,times_3,errors_3,times_4,errors_4,times_5,errors_5,times_6,errors_6,times_7,errors_7,times_8,errors_8,times_9,errors_9,times_10,errors_10,times_11,errors_11,times_12,errors_12,times_13,errors_13,times_14,errors_14,times_15,errors_15,times_16,errors_16,times_17,errors_17,times_18,errors_18,times_19,errors_19,times_20,errors_20,times_21,errors_21,times_22,errors_22,times_23,errors_23,times_24,errors_24,times_25,errors_25,times_26,errors_26,times_27,errors_27,times_28,errors_28,times_29,errors_29,times_30,errors_30,times_31,errors_31,times_32,errors_32,times_33,errors_33,times_34,errors_34,times_35,errors_35,times_36,errors_36,times_37,errors_37,times_38,errors_38,times_39,errors_39,times_40,errors_40,times_41,errors_41,times_42,errors_42,times_43,errors_43,times_44,errors_44,times_45,errors_45,times_46,errors_46,times_47,errors_47,times_48,errors_48,times_49,errors_49,times_50,errors_50,times_51,errors_51,times_52,errors_52,times_53,errors_53,times_54,errors_54,times_55,errors_55,times_56,errors_56,times_57,errors_57,times_58,errors_58,times_59,errors_59,times_60,errors_60,times_61,errors_61,times_62,errors_62,times_63,errors_63,times_64,errors_64,times_65,errors_65,times_66,errors_66,times_67,errors_67,times_68,errors_68,times_69,errors_69,times_70,errors_70,times_71,errors_71,times_72,errors_72,times_73,errors_73,times_74,errors_74,times_75,errors_75,times_76,errors_76,times_77,errors_77,times_78,errors_78,times_79,errors_79,times_80,errors_80,times_81,errors_81,times_82,errors_82,times_83,errors_83,times_84,errors_84,times_85,errors_85,times_86,errors_86,times_87,errors_87,times_88,errors_88,times_89,errors_89,times_90,errors_90,times_91,errors_91,times_92,errors_92,times_93,errors_93,times_94,errors_94,times_95,errors_95,times_96,errors_96,times_97,errors_97,times_98,errors_98,times_99,errors_99,times_100,errors_100
0.268312321,3.303560352787637e-5,0.210557622,3.279245657488034e-5,0.217851348,3.7506648653102005e-5,0.266448644,0.0001816113980243296,0.220644373,4.909696676152328e-5,0.238738272,4.282050340733476e-5,0.245007567,7.889662578542508e-5,0.241945672,3.033803283828755e-5,0.309642775,0.000301335155986926,0.297207191,7.507611517975481e-5,0.174278125,4.171527101176655e-5,0.1839198,3.296297145438753e-5,0.210776629,5.537396695508888e-5,0.214472117,0.00019213724319587473,0.324997832,4.019643753825872e-5,0.222300875,0.00012014271777713043,0.201304422,5.555381529907686e-5,0.236625279,0.0002464982940083349,0.227740782,4.925092819552095e-5,0.232342861,7.177595762881342e-5,0.19785965,3.615852082371183e-5,0.187565156,3.997816658868012e-5,0.224487258,4.8638456406107864e-5,0.223596187,7.131702366616832e-5,0.252021216,0.00014872984270327801,0.204944686,4.817149615938165e-5,0.21209764,3.9726373906986636e-5,0.224583558,3.4623829902471834e-5,0.228380967,3.1669773916470905e-5,0.191968201,4.271091605496963e-5,0.234163976,0.00011557201561133144,0.188831677,4.213255525689659e-5,0.239784808,0.00014148678957034419,0.183501502,3.136434994179667e-5,0.213308117,3.718997476129344e-5,0.21415818,3.200180496473325e-5,0.247898873,4.5242185032875515e-5,0.237173299,8.472579705326002e-5,0.226683459,4.5703505800165585e-5,0.3059979,3.088861974497208e-5,0.204126148,0.00013158153619175156,0.361815491,3.788086876610246e-5,0.338973163,0.0008486013950268841,0.307178322,7.999362009616827e-5,0.24277609,0.00017248000550581442,0.305025172,5.689153457489927e-5,0.190045864,4.451126251994432e-5,0.285055449,3.082789178721791e-5,0.215023543,6.463433818994312e-5,0.290855393,2.7305229939471828e-5,0.270204366,3.123918995029939e-5,0.183410884,4.886598628963004e-5,0.20230872,0.00010305604324861705,0.207508033,0.00012545658726721625,0.315423444,4.815217929622231e-5,0.235018577,0.0001062740705942984,0.225934512,0.00015405484389269207,0.196937883,4.501744285313144e-5,0.274104793,3.8677711279255976e-5,0.321599425,0.00021043684113777582,0.192357268,5.2106719916888675e-5,0.224280828,5.459250604564092e-5,0.24817836,9.72895073730668e-5,0.239652023,0.00023259263855376244,0.20795571,2.4665596152786867e-5,0.222172216,4.721032198326585e-5,0.360609632,0.00012376812221752656,0.215149372,0.00015297518229916005,0.29536843,2.264642580978868e-5,0.21411143,0.00014962310757209323,0.198626884,0.00010466319137633105,0.326535644,3.782862632012864e-5,0.283687105,0.00010360878658145702,0.223327393,4.915798518779474e-5,0.343986969,7.747618628920124e-5,0.298398568,3.9537238492132216e-5,0.237912979,0.00012231487478825534,0.200563608,0.0001434243481545756,0.348335028,0.00015844524160453077,0.344295356,6.653157944904366e-5,0.374146263,0.00023417334957612026,0.240149358,7.465091271288484e-5,0.317376872,3.1739415717934796e-5,0.217231705,3.310477766928855e-5,0.277688621,4.79834996967319e-5,0.289875601,6.03362400567668e-5,0.200605401,7.597459661103362e-5,0.29481522,4.065539142234154e-5,0.227985331,0.0003254663440383711,0.166483837,3.0034609090744324e-5,0.184290379,0.0001057834453636044,0.196987135,4.618330391929057e-5,0.227929137,0.00014036331862901655,0.294154602,4.599892039626619e-5,0.227752533,6.277875765678025e-5,0.24850153,4.227413837432083e-5,0.178011802,4.681888476137854e-5,0.209216654,5.630327895375536e-5,0.230545622,7.341894725633626e-5,0.263971318,5.1533398910146095e-5,0.332254127,0.0003250494648412079
0.364610763,1.6284434797641893e-5,0.316733071,8.982511529357188e-6,0.331197526,7.353613202902588e-6,0.361641853,3.888717261715748e-5,0.329410479,6.94537090678764e-6,0.287186917,1.1095460989658265e-5,0.337318752,1.3611370886173689e-5,0.330222963,7.374615643999964e-6,0.421012523,3.725338718797715e-5,0.430298735,1.5238322370108518e-5,0.278494766,6.101619350039499e-6,0.274642847,5.369245785798988e-6,0.288722741,5.891958986611952e-6,0.446021326,4.395020310786808e-5,0.445052217,9.768166458836661e-6,0.302857122,1.390548136649705e-5,0.27623308,2.456364290021353e-5,0.325721865,2.148823670632668e-5,0.365694574,6.380397034939791e-6,0.306258451,1.4778516511726984e-5,0.293305299,8.446553368225428e-6,0.273138907,6.169129571347578e-6,0.275387994,5.77083833802759e-6,0.315130899,6.81802095504006e-6,0.338714523,9.289609398008408e-6,0.266131286,1.7836465114980506e-5,0.314445973,8.254777830046287e-6,0.308473543,1.0157234090969192e-5,0.287970682,7.447950635321993e-6,0.481601694,7.237862401983303e-6,0.282353568,1.8688221737115744e-5,0.263230479,7.512008390049952e-6,0.295561648,1.3223814300070546e-5,0.295462633,4.7292505941169e-6,0.320267409,5.045301496625189e-6,0.287287237,8.562101113092902e-6,0.406663671,7.279492643826593e-6,0.351723803,2.1959335153162477e-5,0.292688213,9.784949236055273e-6,0.400281055,2.4791482089754622e-5,0.272222095,7.65693884950511e-6,0.351879855,2.2934145522123907e-5,0.473330204,3.399478144230106e-5,0.392400821,5.493000615649965e-6,0.312030828,5.8604291208537024e-5,0.36024822,5.194987161763968e-6,0.272893559,8.810138707948344e-6,0.396929079,5.205666055285983e-6,0.293410561,1.2390702848065332e-5,0.417607811,6.400659965583859e-6,0.435864491,5.190287794968283e-6,0.25279308,7.735794281975782e-6,0.28705462,1.3792672034043944e-5,0.295271158,1.5215062446042743e-5,0.432529638,1.2679218038311325e-5,0.319751351,2.1016724395191513e-5,0.289051793,1.8091306168357157e-5,0.291869358,1.3886542683324084e-5,0.255552597,8.64233841833149e-6,0.418934192,6.954843814260242e-5,0.303560187,1.130810248421048e-5,0.330448142,1.0557594664933734e-5,0.295982158,7.269454287528011e-6,0.293225653,9.522299702736449e-6,0.295380802,6.189677089996876e-6,0.279088921,7.719152660827583e-6,0.329792309,1.2405289903822533e-5,0.310625747,2.3816799768166214e-5,0.393856724,4.320097873823206e-6,0.350164348,2.0389793818963055e-5,0.314560798,7.301463543496965e-6,0.498399906,3.22295827134832e-5,0.314973559,1.6104257576309217e-5,0.392819176,5.094782434354019e-6,0.430565147,1.0302421376944797e-5,0.369649792,5.753548994161317e-6,0.472191822,2.2493652917604307e-5,0.287853804,9.554453109648592e-6,0.422166708,2.5271413339840544e-5,0.398960622,7.573727578602309e-6,0.41862032,6.226476954031217e-5,0.330115271,2.9647136526817943e-5,0.424105971,5.576295489319353e-6,0.289126884,4.0202198355368225e-6,0.383516919,1.2158617715500696e-5,0.449894003,1.5592398532911363e-5,0.397037295,1.0489102701558704e-5,0.39691542,8.623776116663579e-6,0.315634471,2.8541775517794903e-5,0.26015164,5.402526588762247e-6,0.256631919,1.4634466823736435e-5,0.373023241,5.946783366981331e-6,0.305329499,2.1250951586556353e-5,0.441713161,1.1516496157620204e-5,0.296088113,7.2750483432824435e-6,0.391723033,1.1094153788622247e-5,0.258094228,1.0411089116117888e-5,0.277685023,1.2619460901601138e-5,0.337140494,6.136446354792793e-6,0.298031568,1.1771222087160538e-5,0.455070122,7.089056554602197e-5
0.547704945,9.88867156997113e-7,0.490930946,6.046333767900049e-7,0.536239849,1.107995078838703e-6,0.544478635,3.0733954819262975e-6,0.507572168,1.4393072284472843e-6,0.445134291,1.8941968295422127e-6,0.538339385,1.161226437003507e-6,0.497559795,1.2790608734237841e-6,0.598904056,4.514109647003938e-6,0.659400133,2.7528020117393233e-6,0.41476786,1.2639768068621269e-6,0.443609987,9.610128305509637e-7,0.639750963,1.03188908450421e-6,0.713032615,5.844937933866167e-6,0.708310745,2.346255302974156e-6,0.440279716,2.825115966523893e-6,0.408518588,1.0803099656556697e-6,0.473167404,2.578273912444164e-6,0.496549224,2.304217891997003e-6,0.479392684,1.2086501520445594e-6,0.477434706,1.0821053825282574e-6,0.464824251,1.137577254179077e-6,0.420146644,6.195311577995959e-7,0.465935075,3.3831020819601505e-6,0.509666964,3.030350434799706e-6,0.446238359,6.877170426212374e-6,0.524021282,1.5910564537271098e-6,0.474384137,6.941657197535752e-7,0.569867645,1.334843253173086e-6,0.547901983,1.7038785439636333e-6,0.465945187,9.377061141983236e-7,0.415720341,1.2038590422723544e-6,0.399738845,1.6493816691331414e-6,0.421514766,7.243386048217962e-7,0.437575286,1.0474440869372e-6,0.475387395,1.3365011201383216e-6,0.623675855,1.056487286380898e-6,0.494676807,3.1478040965601084e-6,0.453973165,2.2315040478569717e-6,0.620854257,1.2489981220747112e-5,0.445400946,1.4071798978989343e-6,0.534832173,5.331055781780072e-6,0.566114847,3.770934174184701e-6,0.653162457,1.018195662029943e-6,0.491437788,5.526497792741715e-6,0.431734922,1.4118431564795814e-6,0.403225669,5.486821399145282e-7,0.468071081,8.638771713786457e-7,0.458514486,2.2689622049340905e-6,0.448627527,1.1917585784271569e-6,0.564408189,8.093387139586602e-7,0.412024037,1.1596968180769606e-6,0.441284711,2.759576091167003e-6,0.473727911,5.608279397167522e-6,0.507748924,1.476546690118149e-6,0.49732469,1.3580057166800084e-6,0.452341405,1.2249798315224003e-6,0.437106951,3.166027276310643e-6,0.394344531,2.906804012292112e-6,0.680825423,2.1061692856697153e-5,0.488547288,1.0182156153239618e-6,0.471041535,1.161952592799463e-6,0.467787613,1.7376441819102144e-6,0.486869616,5.035613346931667e-6,0.451808435,1.1277949989971158e-6,0.471041307,1.0920120158357563e-6,0.524893066,2.747214593721983e-6,0.446016597,1.1748731527351348e-6,0.59100605,5.85537172083099e-7,0.502600412,5.250944671300217e-6,0.626260559,3.215064069616556e-6,0.667434289,3.3075767385661225e-6,0.487760645,1.9900374618204635e-6,0.598662847,1.0598063612133478e-6,0.473603377,1.1922676108851346e-6,0.565645981,2.0126491837195145e-6,0.719523081,3.5180044914361545e-6,0.662342568,2.4526252065516833e-6,0.467258683,2.1850278251466878e-6,0.504148556,1.8768951412545046e-6,0.727550358,4.2092011388612826e-6,0.627557147,8.296531106606729e-7,0.513006417,7.177094662399909e-7,0.662030417,1.3805994205242238e-6,0.451821258,1.2159175335350792e-6,0.721889942,2.937593301737067e-6,0.74283037,1.1991232362254e-6,0.556951864,1.3524694606833162e-6,0.438949005,7.07154357578076e-6,0.431602116,1.4601807436069657e-6,0.553307236,1.613942288143592e-6,0.620284689,2.3479841709897163e-6,0.662435408,4.377853987152172e-6,0.717522066,1.5283498933310504e-6,0.420038796,3.946795373289636e-6,0.440998952,8.407303456290345e-7,0.390074693,1.5443315311635198e-6,0.429827122,1.3870845712902427e-6,0.483552911,7.616901196035289e-7,0.431905293,2.0751506237674785e-6,0.71541663,1.9142816965082875e-5
0.813672343,1.3728304658327486e-7,0.758603887,2.36782157415581e-7,0.830399141,1.724813564248507e-7,0.892506789,2.977690016090254e-7,0.763276456,1.5463686546578638e-7,0.668107999,4.0164008009125426e-7,0.80907242,2.5281786041703924e-7,1.087845033,2.2245464563506004e-7,0.7209245,4.378615630057718e-7,0.749075634,4.4780143087898634e-7,0.904116971,1.811509662318693e-7,0.987692699,2.470074681385179e-7,0.981564679,1.0548177266773737e-7,0.872573601,2.1153548927917417e-7,0.758815896,2.0586679080120487e-7,0.707323983,2.3046996854181467e-7,0.685565276,1.425295520425681e-7,0.750265752,1.6510983327011262e-7,0.738043898,1.0396966476968362e-7,0.738403269,3.1265356143252767e-7,0.758387819,1.7270301046587317e-7,0.671548258,1.9624883253268033e-7,0.639063711,1.8466595060268543e-7,0.721826601,7.683315163081766e-7,0.776654199,1.8635300147386184e-7,0.707680798,6.064061058106316e-7,0.846315537,1.1669711665287688e-7,0.753954502,8.299009148855093e-8,0.711785918,1.171184343961458e-7,0.801579294,2.512132181980603e-7,0.750673611,2.6263046021617693e-7,0.683726292,3.061115902824749e-7,0.621421764,6.579891929797033e-7,0.617541878,1.0189764674711207e-7,0.695157675,1.5101768106671728e-7,0.75561763,1.372716027633896e-7,1.091523605,1.4078087742915803e-7,0.781383979,3.367330543021847e-7,0.751509788,3.176473851957522e-7,0.843939367,7.845975547123223e-7,0.979250875,2.2545715982099468e-7,0.800769978,3.0061465871794984e-7,0.838544411,1.982752465976866e-6,0.723460732,1.5737003776901413e-7,1.133764158,5.279016165171541e-7,0.664096384,1.3397839874629002e-7,0.829370747,1.5699496945976994e-7,0.741198358,1.4743839234208314e-7,0.948260762,1.1726123090133956e-7,0.741607435,1.1094746321911335e-7,0.711707376,1.9190447957632626e-7,0.816501447,9.246666937467718e-8,0.995243834,1.964353854639642e-7,1.042382197,7.081418927421025e-7,0.759614461,2.3375657700945815e-7,1.072225236,3.8007414269452634e-7,0.899483439,7.67981757913024e-7,1.011149908,2.7306913717876693e-7,0.591926186,3.666245023987405e-7,0.662524386,3.168738755262379e-6,1.084509304,3.055174173922126e-7,1.021086813,1.7543933907040188e-7,0.96278918,1.890985019059846e-7,1.060903452,5.10607154545554e-7,1.02968508,1.6985657150077452e-7,0.877201425,3.8583376386457045e-7,0.843196646,4.502807905314449e-7,0.937416607,5.439236780104882e-7,0.687857587,1.266905487084623e-7,1.057593084,4.481503714361597e-7,0.994306033,1.5865175149421184e-7,0.706803386,1.4708626855362607e-7,1.087402035,2.9577969712596865e-7,0.80977686,1.4487139332832656e-7,0.725358142,1.7528488069829596e-7,0.718668017,1.0115928494586353e-7,0.810563206,1.0664301608262715e-7,1.047060049,3.449989628102657e-7,0.734383289,3.2696478400024336e-7,0.779928239,2.9252590608357114e-7,0.744356693,2.251184908309706e-7,0.938886773,6.236603326137382e-7,0.768646382,1.4869885934443466e-7,0.964385781,2.9027726617947285e-7,0.692680807,2.1124265263886803e-7,0.78415815,2.515249775853888e-7,0.913773966,2.143466564322453e-7,0.678158658,1.6101002294074982e-7,1.002020491,3.8008259501191197e-7,0.748370553,1.5561722317731367e-7,0.870402818,2.0340814018744063e-7,0.878503824,3.3215202339082995e-7,0.958307748,3.754603722144237e-7,0.812245312,2.223327607186049e-7,0.924801339,1.8984656457982407e-7,0.66674147,1.4730007956641305e-7,0.881298618,3.629604938407569e-7,0.973684068,1.805768790750756e-7,1.051728237,1.3117545371974926e-7,0.699003304,1.5294097678389192e-7,0.765127676,4.179506522912181e-7
