Tolerance,Algorithm,Time,L2Error,MaxDist
1.0e-5,CVODE_BDF,0.052925629,0.0028650301333763405,0.0013794546644942463
1.0e-5,QNDF,2.695813806,0.0005644642811060725,0.000507490818935697
1.0e-6,CVODE_BDF,0.063843431,0.0001956436924150261,9.454269937348648e-5
1.0e-6,QNDF,0.181799955,0.0005121084930479639,0.0002471176997396868
1.0e-7,CVODE_BDF,0.113242298,0.0002143366142059692,0.00010326721554066187
1.0e-7,QNDF,0.226020875,3.987297136703701e-5,1.92176149682652e-5
1.0e-8,CVODE_BDF,0.190995446,4.169485461823885e-6,2.8592476948032304e-6
1.0e-8,QNDF,0.325349615,1.0799394716823962e-5,5.2062948361330315e-6
