Tolerance,Algorithm,Time,L2Error,MaxDist
1.0e-5,CVODE_BDF,0.020622171,0.00019578234835808628,0.0001466961612313054
1.0e-5,QNDF,0.057868657,2.050036502601259e-5,8.599734914875195e-6
1.0e-6,CVODE_BDF,0.040839469,5.671256580485105e-6,3.949275035655262e-6
1.0e-6,QNDF,0.081305784,7.4240102663421295e-6,3.250425710380964e-6
1.0e-7,CVODE_BDF,0.057842172,9.820134737694042e-7,8.92351817202775e-7
1.0e-7,QNDF,0.122284156,8.249834816941836e-7,3.577089763662956e-7
1.0e-8,CVODE_BDF,0.085252819,2.232384796572127e-8,1.1268157560962097e-8
1.0e-8,QNDF,0.173442289,1.4515348866738224e-7,6.322075343920086e-8
