Tolerance,Algorithm,AvgTime,MaxL2Error,MaxMaxDist
1.0e-5,CVODE_BDF,0.050514341,0.0029278256914723605,0.0027387301520290404
1.0e-5,QNDF,0.3358529488,7.189310376730395e-5,6.724984076210437e-5
1.0e-6,CVODE_BDF,0.06890149899999999,2.1318939622268347e-5,1.994203160856233e-5
1.0e-6,QNDF,0.1437273199,6.620725826723685e-6,6.1931219313385736e-6
1.0e-7,CVODE_BDF,0.099040296,2.318074911519418e-6,2.1683605012491285e-6
1.0e-7,QNDF,0.213467516,1.364226561188011e-6,1.2761170765264677e-6
1.0e-8,CVODE_BDF,0.1440721775,5.749097763154359e-7,5.377787441146165e-7
1.0e-8,QNDF,0.2985538212,5.505330497158454e-7,5.149764914061093e-7
