times,errors,times_1,errors_1
0.267271544,3.303560352787637e-5,0.227281561,3.279245657488034e-5
0.360434364,1.6284434797641893e-5,0.361836625,8.982511529357188e-6
0.540380917,9.88867156997113e-7,0.566199124,6.046333767900049e-7
0.801647077,1.3728304658327486e-7,0.857683261,2.36782157415581e-7
